epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,1208.86,2.69578,1.44352,0.00137,0.50147,0.32589,0.32141,0.10476,2.98592,2.10108,0.00234,0.0280002,0.0093334,0.0280002,0.0093334,0.0280002,0.0093334,0.0280002,0.0093334
103,1220.59,2.67701,1.33655,0.00138,0.46523,0.46429,0.37908,0.11973,3.03797,1.94113,0.00237,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
104,1232.21,2.65947,1.42623,0.00141,0.42874,0.41964,0.33474,0.09986,2.65972,1.90351,0.00207,0.0279606,0.0093202,0.0279606,0.0093202,0.0279606,0.0093202,0.0279606,0.0093202
105,1243.83,2.67478,1.41454,0.00147,0.5314,0.46875,0.39623,0.12832,2.68529,1.92782,0.00214,0.0279408,0.0093136,0.0279408,0.0093136,0.0279408,0.0093136,0.0279408,0.0093136
106,1255.48,2.60661,1.31175,0.00133,0.4959,0.42411,0.37047,0.11704,2.78014,1.90153,0.00218,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
107,1267.21,2.6376,1.39825,0.00132,0.45197,0.47321,0.33767,0.09916,2.89124,1.75469,0.00231,0.0279012,0.0093004,0.0279012,0.0093004,0.0279012,0.0093004,0.0279012,0.0093004
108,1278.84,2.61984,1.41225,0.0014,0.52668,0.41518,0.38203,0.11643,2.70157,2.13753,0.00218,0.0278814,0.0092938,0.0278814,0.0092938,0.0278814,0.0092938,0.0278814,0.0092938
109,1290.48,2.66823,1.37974,0.00136,0.49305,0.41964,0.36212,0.10954,2.85316,1.68291,0.00224,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
110,1302.1,2.57301,1.38998,0.00129,0.48708,0.40625,0.35777,0.1048,2.86373,1.79243,0.00231,0.0278418,0.0092806,0.0278418,0.0092806,0.0278418,0.0092806,0.0278418,0.0092806
111,1313.8,2.52996,1.3355,0.00129,0.50253,0.37882,0.30879,0.07668,2.9539,2.15202,0.00237,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
