epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,80567.2,2.40073,1.45557,0.71595,0.40828,0.31429,0.3219,0.08213,2.09649,1.11457,0.6452,0.0070696,0.0070696,0.0070696
150,81107.9,2.38578,1.38802,0.72873,0.3821,0.27857,0.25263,0.06256,2.1111,1.20602,0.63361,0.0070498,0.0070498,0.0070498
151,81646.6,2.30922,1.38323,0.71911,0.36099,0.3,0.26401,0.07846,2.07915,1.22784,0.63501,0.00703,0.00703,0.00703
152,82185.3,2.43175,1.39202,0.75783,0.38134,0.2994,0.25438,0.07951,1.96083,1.09236,0.63973,0.0070102,0.0070102,0.0070102
153,82724.2,2.42516,1.48091,0.7436,0.3969,0.33847,0.25998,0.08348,1.89426,1.09937,0.62648,0.0069904,0.0069904,0.0069904
154,83262.7,2.22992,1.35254,0.71533,0.48823,0.34073,0.31523,0.0867,1.81939,1.08887,0.64776,0.0069706,0.0069706,0.0069706
155,83800.5,2.45651,1.49992,0.7566,0.42985,0.32857,0.27125,0.07955,1.9216,1.1088,0.63981,0.0069508,0.0069508,0.0069508
156,84339.6,2.48434,1.35232,0.76947,0.37926,0.32857,0.26908,0.08325,1.82619,1.10524,0.65534,0.006931,0.006931,0.006931
157,84877.8,2.37133,1.38371,0.7505,0.39966,0.33288,0.27633,0.07519,1.93868,1.26716,0.63663,0.0069112,0.0069112,0.0069112
158,85415,2.3345,1.43847,0.74399,0.45287,0.36429,0.31817,0.08232,1.87758,1.1808,0.63872,0.0068914,0.0068914,0.0068914
159,85952.1,2.32419,1.43183,0.71042,0.40218,0.27143,0.23397,0.07633,1.99677,1.18053,0.62384,0.0068716,0.0068716,0.0068716
160,86491.4,2.52669,1.50691,0.77109,0.4946,0.39845,0.35109,0.10049,1.82139,1.1818,0.63277,0.0068518,0.0068518,0.0068518
161,87032,2.24694,1.17582,0.70666,0.44673,0.35759,0.31552,0.09694,1.83162,1.10681,0.62785,0.006832,0.006832,0.006832
162,87572.4,2.59301,1.50461,0.76388,0.44341,0.33571,0.30554,0.08475,1.91256,1.11118,0.63622,0.0068122,0.0068122,0.0068122
163,88112.2,2.28517,1.3423,0.70555,0.46313,0.30714,0.27579,0.08992,1.74874,1.11309,0.62988,0.0067924,0.0067924,0.0067924
164,88654.6,2.37621,1.45348,0.76162,0.37682,0.3,0.23792,0.07224,1.91986,1.21305,0.64879,0.0067726,0.0067726,0.0067726
165,89195.4,2.2405,1.303,0.71461,0.36441,0.3,0.24507,0.08177,1.98586,1.16565,0.64742,0.0067528,0.0067528,0.0067528
